run_id,stage,status,started_at_utc,completed_at_utc,duration_seconds,input_rows,output_rows,details
20260819T044342Z-e0f0d5ff,bronze,succeeded,2026-08-19T04:43:42Z,2026-08-19T04:43:42Z,0.029,80027,0,"processed=0, skipped=48, rejected=0"
20260819T044342Z-e0f0d5ff,silver,succeeded,2026-08-19T04:43:55Z,2026-08-19T04:43:55Z,13.478,80027,80024,tables=8
20260819T044342Z-e0f0d5ff,gold,succeeded,2026-08-19T04:43:56Z,2026-08-19T04:43:56Z,0.913,80024,478,tables=6
20260819T044520Z-306e5104,bronze,succeeded,2026-08-19T04:45:20Z,2026-08-19T04:45:20Z,0.028,80027,0,"processed=0, skipped=48, rejected=0"
20260819T044520Z-306e5104,silver,succeeded,2026-08-19T04:45:20Z,2026-08-19T04:45:34Z,13.67,80027,80024,tables=8
20260819T044520Z-306e5104,gold,succeeded,2026-08-19T04:45:34Z,2026-08-19T04:45:35Z,1.181,80024,478,tables=6
20260819T045955Z-18d12b08,bronze,succeeded,2026-08-19T04:59:55Z,2026-08-19T04:59:56Z,0.065,80027,0,"processed=0, skipped=48, rejected=0"
20260819T045955Z-18d12b08,silver,succeeded,2026-08-19T04:59:56Z,2026-08-19T05:00:13Z,16.998,80027,80024,tables=8
20260819T045955Z-18d12b08,gold,succeeded,2026-08-19T05:00:13Z,2026-08-19T05:00:14Z,0.962,80024,478,tables=6
20260819T050445Z-8610366f,bronze,succeeded,2026-08-19T05:04:45Z,2026-08-19T05:04:45Z,0.052,80027,0,"processed=0, skipped=48, rejected=0"
20260819T050445Z-8610366f,silver,succeeded,2026-08-19T05:04:45Z,2026-08-19T05:04:59Z,14.491,80027,80024,tables=8
20260819T050445Z-8610366f,gold,succeeded,2026-08-19T05:04:59Z,2026-08-19T05:05:00Z,0.799,80024,478,tables=6
