run_id,layer,table_name,rows_written,status
20260819T044342Z-e0f0d5ff,silver,adp_shifts,68071,succeeded
20260819T044342Z-e0f0d5ff,silver,gbp_reviews,424,succeeded
20260819T044342Z-e0f0d5ff,silver,hubspot_leads,830,succeeded
20260819T044342Z-e0f0d5ff,silver,pcc_care_history,303,succeeded
20260819T044342Z-e0f0d5ff,silver,pcc_incidents,411,succeeded
20260819T044342Z-e0f0d5ff,silver,pcc_residents,4149,succeeded
20260819T044342Z-e0f0d5ff,silver,yardi_leases,346,succeeded
20260819T044342Z-e0f0d5ff,silver,yardi_units,5490,succeeded
20260819T044342Z-e0f0d5ff,gold,dim_care_level,3,succeeded
20260819T044342Z-e0f0d5ff,gold,dim_community,14,succeeded
20260819T044342Z-e0f0d5ff,gold,dim_date,6,succeeded
20260819T044342Z-e0f0d5ff,gold,fact_incident_care_monthly,252,succeeded
20260819T044342Z-e0f0d5ff,gold,fact_move_out,119,succeeded
20260819T044342Z-e0f0d5ff,gold,fact_occupancy_monthly,84,succeeded
20260819T044520Z-306e5104,silver,adp_shifts,68071,succeeded
20260819T044520Z-306e5104,silver,gbp_reviews,424,succeeded
20260819T044520Z-306e5104,silver,hubspot_leads,830,succeeded
20260819T044520Z-306e5104,silver,pcc_care_history,303,succeeded
20260819T044520Z-306e5104,silver,pcc_incidents,411,succeeded
20260819T044520Z-306e5104,silver,pcc_residents,4149,succeeded
20260819T044520Z-306e5104,silver,yardi_leases,346,succeeded
20260819T044520Z-306e5104,silver,yardi_units,5490,succeeded
20260819T044520Z-306e5104,gold,dim_care_level,3,succeeded
20260819T044520Z-306e5104,gold,dim_community,14,succeeded
20260819T044520Z-306e5104,gold,dim_date,6,succeeded
20260819T044520Z-306e5104,gold,fact_incident_care_monthly,252,succeeded
20260819T044520Z-306e5104,gold,fact_move_out,119,succeeded
20260819T044520Z-306e5104,gold,fact_occupancy_monthly,84,succeeded
20260819T045955Z-18d12b08,silver,adp_shifts,68071,succeeded
20260819T045955Z-18d12b08,silver,gbp_reviews,424,succeeded
20260819T045955Z-18d12b08,silver,hubspot_leads,830,succeeded
20260819T045955Z-18d12b08,silver,pcc_care_history,303,succeeded
20260819T045955Z-18d12b08,silver,pcc_incidents,411,succeeded
20260819T045955Z-18d12b08,silver,pcc_residents,4149,succeeded
20260819T045955Z-18d12b08,silver,yardi_leases,346,succeeded
20260819T045955Z-18d12b08,silver,yardi_units,5490,succeeded
20260819T045955Z-18d12b08,gold,dim_care_level,3,succeeded
20260819T045955Z-18d12b08,gold,dim_community,14,succeeded
20260819T045955Z-18d12b08,gold,dim_date,6,succeeded
20260819T045955Z-18d12b08,gold,fact_incident_care_monthly,252,succeeded
20260819T045955Z-18d12b08,gold,fact_move_out,119,succeeded
20260819T045955Z-18d12b08,gold,fact_occupancy_monthly,84,succeeded
20260819T050445Z-8610366f,silver,adp_shifts,68071,succeeded
20260819T050445Z-8610366f,silver,gbp_reviews,424,succeeded
20260819T050445Z-8610366f,silver,hubspot_leads,830,succeeded
20260819T050445Z-8610366f,silver,pcc_care_history,303,succeeded
20260819T050445Z-8610366f,silver,pcc_incidents,411,succeeded
20260819T050445Z-8610366f,silver,pcc_residents,4149,succeeded
20260819T050445Z-8610366f,silver,yardi_leases,346,succeeded
20260819T050445Z-8610366f,silver,yardi_units,5490,succeeded
20260819T050445Z-8610366f,gold,dim_care_level,3,succeeded
20260819T050445Z-8610366f,gold,dim_community,14,succeeded
20260819T050445Z-8610366f,gold,dim_date,6,succeeded
20260819T050445Z-8610366f,gold,fact_incident_care_monthly,252,succeeded
20260819T050445Z-8610366f,gold,fact_move_out,119,succeeded
20260819T050445Z-8610366f,gold,fact_occupancy_monthly,84,succeeded
